id,short_name,long_name,age,dob,height_cm,weight_kg,nationality,club,overall_score,value_eur,wage_eur,team_position
189509,Thiago,Thiago Alcântara do Nascimento,28,4/11/1991,174,70,Spain,FC Bayern München,87,50000000,180000,CDM
193041,K. Navas,Keylor Navas,32,12/15/1986,185,80,Costa Rica,Real Madrid,87,30500000,195000,SUB
198219,L. Insigne,Lorenzo Insigne,28,6/4/1991,163,59,Italy,Napoli,87,52000000,140000,LS
222492,L. Sané,Leroy Sané,23,1/11/1996,183,75,Germany,Manchester City,86,61000000,195000,SUB
207865,Marquinhos,Marcos  Aoás Corrêa,25,5/14/1994,183,75,Brazil,Paris Saint-Germain,86,51500000,120000,RCB
232363,M. Škriniar,Milan Škriniar,24,2/11/1995,187,80,Slovakia,Inter,86,52000000,89000,LCB
199556,M. Verratti,Marco Verratti,26,11/5/1992,165,60,Italy,Paris Saint-Germain,86,54500000,140000,RCM
205600,S. Umtiti,Samuel Umtiti,25,11/14/1993,182,75,France,FC Barcelona,86,50000000,210000,SUB
186153,W. Szczęsny,Wojciech  Szczęsny,29,4/18/1990,195,90,Poland,Juventus,86,37500000,135000,GK
212622,J. Kimmich,Joshua Kimmich,24,2/8/1995,176,73,Germany,FC Bayern München,86,48000000,125000,RB
197781,Isco,Francisco Román Alarcón Suárez,27,4/21/1992,176,79,Spain,Real Madrid,86,51000000,245000,SUB
201942,Roberto Firmino,Roberto Firmino Barbosa de Oliveira,27,10/2/1991,181,76,Brazil,Liverpool,86,52000000,170000,CF
168651,I. Rakitić,Ivan Rakitić,31,3/10/1988,184,78,Croatia,FC Barcelona,86,38000000,245000,RCM
180206,M. Pjanić,Miralem Pjanić,29,4/2/1990,178,72,Bosnia Herzegovina,Juventus,86,42500000,180000,CDM
183898,A. Di María,Ángel Fabián Di María Hernández,31,2/14/1988,180,69,Argentina,Paris Saint-Germain,86,39000000,150000,LW
184344,L. Bonucci,Leonardo Bonucci,32,5/1/1987,190,85,Italy,Juventus,86,28500000,160000,RCB
189242,Coutinho,Philippe Coutinho Correia,27,6/12/1992,172,68,Brazil,FC Bayern München,86,46500000,175000,LCM
189513,Parejo,Daniel Parejo Muñoz,30,4/16/1989,182,74,Spain,Valencia CF,86,41000000,69000,RCM
189596,T. Müller,Thomas Müller,29,9/13/1989,186,75,Germany,FC Bayern München,86,43500000,170000,SUB
192387,C. Immobile,Ciro Immobile,29,2/20/1990,185,85,Italy,Lazio,86,44500000,105000,ST
193301,A. Lacazette,Alexandre Lacazette,28,5/28/1991,175,73,France,Arsenal,86,46000000,165000,ST
235243,M. de Ligt,Matthijs de Ligt,19,8/12/1999,189,89,Netherlands,Juventus,85,50000000,76000,SUB
230621,G. Donnarumma,Gianluigi Donnarumma,20,2/25/1999,196,90,Italy,Milan,85,41500000,34000,GK
228702,F. de Jong,Frenkie de Jong,22,5/12/1997,180,74,Netherlands,FC Barcelona,85,52000000,195000,LCM
201535,R. Varane,Raphaël Varane,26,4/25/1993,191,81,France,Real Madrid,85,45000000,205000,RCB
212190,N. Süle,Niklas Süle,23,9/3/1995,195,97,Germany,FC Bayern München,85,46500000,115000,RCB
223848,S. Milinković-Savić,Sergej Milinković-Savić,24,2/27/1995,191,76,Serbia,Lazio,85,50500000,73000,RDM
231866,Rodri,Rodrigo Hernández Cascante,23,6/22/1996,191,82,Spain,Manchester City,85,47000000,150000,SUB
208421,Saúl,Saúl Ñíguez Esclápez,24,11/21/1994,184,77,Spain,Atlético Madrid,85,49500000,77000,LCM
209499,Fabinho,Fábio Henrique Tavares,25,10/23/1993,188,78,Brazil,Liverpool,85,45000000,125000,CDM
216267,A. Robertson,Andrew Robertson,25,3/11/1994,178,64,Scotland,Liverpool,85,43500000,125000,LB
216460,J. Giménez,José María Giménez de Vargas,24,1/20/1995,185,80,Uruguay,Atlético Madrid,85,45000000,69000,RCB
220440,C. Lenglet,Clément Lenglet,24,6/17/1995,186,81,France,FC Barcelona,85,45000000,175000,LCB
212198,Bruno Fernandes,Bruno Miguel Borges Fernandes,24,9/8/1994,179,69,Portugal,Sporting CP,85,49000000,24000,RCM
199482,A. Lopes,Anthony Lopes,28,10/1/1990,184,81,Portugal,Olympique Lyonnais,85,33500000,88000,GK
185122,P. Gulácsi,Péter Gulácsi,29,5/6/1990,192,86,Hungary,RB Leipzig,85,31000000,69000,GK
189117,R. Bürki,Roman Bürki,28,11/14/1990,187,85,Switzerland,Borussia Dortmund,85,32000000,92000,GK
192505,R. Lukaku,Romelu Lukaku,26,5/13/1993,190,94,Belgium,Inter,85,46000000,115000,LS
192774,K. Manolas,Kostas Manolas,28,6/14/1991,189,83,Greece,Napoli,85,37500000,105000,RCB
194404,Neto,Norberto Murara Neto,29,7/19/1989,190,84,Brazil,FC Barcelona,85,31000000,175000,SUB
197445,D. Alaba,David Olatukunbo Alaba,27,6/24/1992,180,78,Austria,FC Bayern München,85,38000000,135000,LB
201399,M. Icardi,Mauro Emanuel Icardi Rivero,26,2/19/1993,181,75,Argentina,Inter,85,46000000,115000,RES
204963,Carvajal,Daniel Carvajal Ramos,27,1/11/1992,173,73,Spain,Real Madrid,85,38000000,205000,RB
208670,H. Ziyech,Hakim Ziyech,26,3/19/1993,181,65,Morocco,Ajax,85,45000000,39000,RAM
41236,Z. Ibrahimović,Zlatan Ibrahimović,37,10/3/1981,195,95,Sweden,LA Galaxy,85,14000000,15000,ST
143076,A. Gómez,Alejandro Darío Gómez,31,2/15/1988,165,68,Argentina,Atalanta,85,34000000,92000,CAM
167664,G. Higuaín,Gonzalo Gerardo Higuaín,31,12/10/1987,186,89,Argentina,Juventus,85,34500000,175000,SUB
170890,B. Matuidi,Blaise Matuidi,32,4/9/1987,180,75,France,Juventus,85,25000000,145000,SUB
173731,G. Bale,Gareth Frank Bale,29,7/16/1989,185,82,Wales,Real Madrid,85,37500000,250000,SUB
176676,Marcelo,Marcelo Vieira da Silva Júnior,31,5/12/1988,174,75,Brazil,Real Madrid,85,28000000,205000,LB
177413,A. Witsel,Axel  Witsel,30,1/12/1989,186,81,Belgium,Borussia Dortmund,85,31500000,110000,LDM
191043,Alex Sandro,Alex Sandro Lobo Silva,28,1/26/1991,180,80,Brazil,Juventus,85,33000000,155000,LB
192629,Iago Aspas,Iago Aspas Juncal,31,8/1/1987,176,67,Spain,RC Celta,85,34500000,49000,RS
193747,Koke,Jorge Resurrección Merodio,27,1/8/1992,176,74,Spain,Atlético Madrid,85,40500000,88000,RM
198710,J. Rodríguez,James David Rodríguez Rubio,27,7/12/1991,180,75,Colombia,Real Madrid,85,40500000,225000,SUB
199914,Allan,Allan Marques Loureiro,28,1/8/1991,175,74,Brazil,Napoli,85,38000000,110000,RCM
233049,J. Sancho,Jadon Sancho,19,3/25/2000,180,76,England,Borussia Dortmund,84,44500000,61000,RM
235790,K. Havertz,Kai Havertz,20,6/11/1999,188,83,Germany,Bayer 04 Leverkusen,84,46000000,70000,RF
231443,O. Dembélé,Ousmane Dembélé,22,5/15/1997,178,67,France,FC Barcelona,84,42500000,195000,SUB
206585,Kepa,Kepa Arrizabalaga,24,10/3/1994,186,85,Spain,Chelsea,84,31000000,92000,GK
210514,João Cancelo,João Pedro Cavaco Cancelo,25,5/27/1994,182,74,Portugal,Manchester City,84,36500000,150000,SUB
211117,D. Alli,Bamidele Alli,23,4/11/1996,188,80,England,Tottenham Hotspur,84,41500000,115000,CAM
220814,L. Hernández,Lucas Hernández,23,2/14/1996,182,76,France,FC Bayern München,84,37500000,110000,LCB
230658,Arthur,Arthur Henrique Ramos Oliveira Melo,22,8/12/1996,171,73,Brazil,FC Barcelona,84,41000000,180000,SUB
202556,M. Depay,Memphis Depay,25,2/13/1994,176,78,Netherlands,Olympique Lyonnais,84,40500000,110000,LW
209658,L. Goretzka,Leon Goretzka,24,2/6/1995,189,79,Germany,FC Bayern München,84,40000000,120000,SUB
212194,J. Brandt,Julian Brandt,23,5/2/1996,185,83,Germany,Borussia Dortmund,84,40500000,94000,SUB
213345,K. Coman,Kingsley Coman,23,6/13/1996,179,75,France,FC Bayern München,84,40500000,120000,LW
206113,S. Gnabry,Serge Gnabry,23,7/14/1995,175,75,Germany,FC Bayern München,84,39500000,120000,RW
216594,N. Fekir,Nabil Fekir,25,7/18/1993,173,75,France,Real Betis,84,39000000,40000,RM
192563,B. Leno,Bernd Leno,27,3/4/1992,190,83,Germany,Arsenal,84,26000000,91000,GK
198706,Luis Alberto,Luis Alberto Romero Alconchel,26,9/28/1992,183,74,Spain,Lazio,84,37500000,78000,CM
212462,Alex Telles,Alex Nicolao Telles,26,12/15/1992,181,71,Brazil,FC Porto,84,33000000,23000,LB
236583,J. Pavlenka,Jiří Pavlenka,27,4/14/1992,196,81,Czech Republic,SV Werder Bremen,84,26000000,37000,GK
198176,S. de Vrij,Stefan de Vrij,27,2/5/1992,189,78,Netherlands,Inter,84,31500000,88000,CB
201995,Felipe Anderson,Felipe  Anderson Pereira Gomes,26,4/15/1993,175,70,Brazil,West Ham United,84,36500000,125000,RM
120533,Pepe,Képler Laveran Lima Ferreira,36,2/26/1983,188,81,Portugal,FC Porto,84,6500000,16000,RCB
162347,João Moutinho,João Filipe Iria Santos Moutinho,32,9/8/1986,170,61,Portugal,Wolverhampton Wanderers,84,23500000,125000,LCM
167628,S. Ruffier,Stéphane Ruffier,32,9/27/1986,188,93,France,AS Saint-Étienne,84,19000000,41000,GK
168435,S. Sirigu,Salvatore Sirigu,32,1/12/1987,192,80,Italy,Torino,84,19000000,54000,GK
171877,M. Hamšík,Marek Hamšík,31,7/27/1987,183,73,Slovakia,Dalian YiFang FC,84,26500000,26000,CAM
172879,Sokratis,Sokratis Papastathopoulos,31,6/9/1988,186,85,Greece,Arsenal,84,23000000,115000,RCB
176266,Lucas Leiva,Lucas  Pezzini Leiva,32,1/9/1987,179,78,Brazil,Lazio,84,20500000,71000,LDM
176635,M. Özil,Mesut Özil,30,10/15/1988,180,76,Germany,Arsenal,84,29500000,125000,CAM
177610,Javi Martínez,Javier Martínez Aginaga,30,9/2/1988,192,86,Spain,FC Bayern München,84,25500000,125000,SUB
177683,Y. Sommer,Yann Sommer,30,12/17/1988,183,79,Switzerland,Borussia Mönchengladbach,84,21000000,37000,GK
180930,E. Džeko,Edin Džeko,33,3/17/1986,193,80,Bosnia Herzegovina,Roma,84,19500000,75000,ST
181291,G. Wijnaldum,Georginio Wijnaldum,28,11/11/1990,175,69,Netherlands,Liverpool,84,31000000,140000,LCM
181458,I. Perišić,Ivan Perišić,30,2/2/1989,186,80,Croatia,FC Bayern München,84,29500000,135000,SUB
181783,M. Mandžukić,Mario Mandžukić,33,5/21/1986,190,85,Croatia,Juventus,84,19500000,160000,ST
181872,A. Vidal,Arturo Vidal,32,5/22/1987,180,75,Chile,FC Barcelona,84,23500000,205000,SUB
183907,J. Boateng,Jérôme Boateng,30,9/3/1988,192,90,Germany,FC Bayern München,84,25000000,125000,SUB
184432,Azpilicueta,César Azpilicueta Tanco,29,8/28/1989,178,76,Spain,Chelsea,84,25500000,145000,RB
185020,José Callejón,José María Callejón Bueno,32,2/11/1987,178,73,Spain,Napoli,84,24000000,96000,RM
186942,I. Gündoğan,İlkay Gündoğan,28,10/24/1990,180,80,Germany,Manchester City,84,31000000,180000,SUB
187961,Paulinho,José Paulo Bezzera Maciel Júnior,30,7/25/1988,183,80,Brazil,Guangzhou Evergrande Taobao FC,84,29000000,43000,LCM
188377,K. Walker,Kyle Walker,29,5/28/1990,183,70,England,Manchester City,84,25500000,165000,RB
190286,Canales,Sergio Canales Madrazo,28,2/16/1991,176,65,Spain,Real Betis,84,31500000,44000,RCM
190483,Douglas Costa,Douglas Costa de Souza,28,9/14/1990,172,70,Brazil,Juventus,84,31500000,155000,SUB
197965,Pizzi,Luís Miguel Afonso Fernandes,29,10/6/1989,177,72,Portugal,SL Benfica,84,30500000,26000,RM
199434,D. Tadić,Dušan Tadić,30,11/20/1988,181,76,Serbia,Ajax,84,29500000,36000,ST
200647,J. Iličić,Josip Iličić,31,1/29/1988,190,79,Slovenia,Atalanta,84,28000000,92000,RS
204485,R. Mahrez,Riyad Mahrez,28,2/21/1991,179,67,Algeria,Manchester City,84,31500000,195000,SUB
205678,E. Višća,Edin Višća,29,2/17/1990,172,63,Bosnia Herzegovina,Medipol Başakşehir FK,84,30500000,67000,RM
207863,Felipe,Felipe Augusto de Almeida Monteiro,30,5/16/1989,190,83,Brazil,Atlético Madrid,84,25000000,74000,LCB
226271,Fabián,Fabián Ruiz Peña,23,4/3/1996,189,70,Spain,Napoli,83,36000000,76000,LCM
210413,A. Romagnoli,Alessio Romagnoli,24,1/12/1995,188,78,Italy,Milan,83,32000000,46000,LCB
226226,G. Lo Celso,Giovani Lo Celso,23,4/9/1996,177,68,Argentina,Tottenham Hotspur,83,35000000,105000,SUB
231281,T. Alexander-Arnold,Trent Alexander-Arnold,20,10/7/1998,180,69,England,Liverpool,83,32000000,78000,RB
232432,L. Jović,Luka Jović,21,12/23/1997,182,85,Serbia,Real Madrid,83,36500000,155000,SUB
205175,A. Milik,Arkadiusz Milik,25,2/28/1994,186,78,Poland,Napoli,83,35000000,91000,RS
211300,A. Martial,Anthony Martial,23,12/5/1995,184,76,France,Manchester United,83,34500000,140000,ST
212523,Anderson Talisca,Anderson Souza Conceição,25,2/1/1994,190,80,Brazil,Guangzhou Evergrande Taobao FC,83,34500000,38000,RW
213331,J. Tah,Jonathan Tah,23,2/11/1996,195,97,Germany,Bayer 04 Leverkusen,83,31000000,67000,RCB
219683,C. Tolisso,Corentin Tolisso,24,8/3/1994,181,81,France,FC Bayern München,83,34000000,110000,RCM
221087,Pau López,Pau López Sabata,24,12/13/1994,189,77,Spain,Roma,83,26000000,38000,GK
224411,Gonçalo Guedes,Gonçalo Manuel Ganchinho Guedes,22,11/29/1996,179,68,Portugal,Valencia CF,83,34500000,46000,LM
226110,N. Pépé,Nicolas Pépé,24,5/29/1995,183,73,Ivory Coast,Arsenal,83,34500000,97000,RM
229237,M. Akanji,Manuel Obafemi Akanji,23,7/19/1995,187,91,Switzerland,Borussia Dortmund,83,31000000,77000,RCB
231677,M. Rashford,Marcus Rashford,21,10/31/1997,186,70,England,Manchester United,83,35500000,125000,LM
203574,J. Stones,John Stones,25,5/28/1994,188,70,England,Manchester City,83,30000000,140000,RCB
210008,A. Rabiot,Adrien Rabiot,24,4/3/1995,192,80,France,Juventus,83,33000000,120000,LCM
210035,Grimaldo,Alejandro Grimaldo García,23,9/20/1995,171,69,Spain,SL Benfica,83,29500000,18000,LB
212188,T. Werner,Timo Werner,23,3/6/1996,180,75,Germany,RB Leipzig,83,34500000,70000,LS
213565,T. Lemar,Thomas Lemar,23,11/12/1995,171,62,France,Atlético Madrid,83,34000000,64000,LM
220793,D. Sánchez,Davinson Sánchez,23,6/12/1996,187,79,Colombia,Tottenham Hotspur,83,30500000,93000,SUB
220834,Marco Asensio,Marco Asensio Willemsen,23,1/21/1996,182,76,Spain,Real Madrid,83,34000000,180000,SUB
200458,L. Digne,Lucas Digne,25,7/20/1993,178,74,France,Everton,83,28500000,97000,LB
202166,J. Draxler,Julian Draxler,25,9/20/1993,187,77,Germany,Paris Saint-Germain,83,32500000,100000,SUB
204935,J. Pickford,Jordan Pickford,25,3/7/1994,185,77,England,Everton,83,24000000,78000,GK
208418,Y. Carrasco,Yannick Ferreira Carrasco,25,9/4/1993,180,71,Belgium,Dalian YiFang FC,83,32500000,23000,LM
224179,Borja Iglesias,Borja Iglesias Quintas,26,1/17/1993,187,86,Spain,Real Betis,83,32500000,41000,ST
192984,K. Casteels,Koen Casteels,27,6/25/1992,197,86,Belgium,VfL Wolfsburg,83,22000000,50000,GK
198717,W. Zaha,Wilfried Zaha,26,11/10/1992,180,66,Ivory Coast,Crystal Palace,83,32000000,89000,LS
200454,Paco Alcácer,Francisco Alcácer García,25,8/30/1993,175,72,Spain,Borussia Dortmund,83,32000000,105000,ST
201153,Morata,Álvaro Borja Morata Martín,26,10/23/1992,189,84,Spain,Atlético Madrid,83,32000000,80000,LS
205693,S. Haller,Sébastien Haller,25,6/22/1994,190,82,France,West Ham United,83,32000000,120000,ST
207566,William Carvalho,William Silva de Carvalho,27,4/7/1992,187,83,Portugal,Real Betis,83,27500000,35000,CDM
212404,F. Bernardeschi,Federico Bernardeschi,25,2/16/1994,185,77,Italy,Juventus,83,31500000,130000,SUB
217940,D. Djené,Djené Dakonam Ortega,27,12/31/1991,178,72,Togo,Getafe CF,83,27000000,35000,RCB
188152,Oscar,Oscar dos Santos Emboaba Júnior,27,9/9/1991,181,71,Brazil,Shanghai SIPG FC,83,29500000,29000,RCM
188943,K. Trapp,Kevin Trapp,28,7/8/1990,189,86,Germany,Eintracht Frankfurt,83,21500000,42000,GK
198141,Bartra,Marc Bartra Aregall,28,1/15/1991,184,73,Spain,Real Betis,83,25500000,36000,RCB
198950,Pablo Sarabia,Pablo Sarabia García,27,5/11/1992,174,70,Spain,Paris Saint-Germain,83,29500000,105000,SUB
199987,J. Cillessen,Jasper Cillessen,30,4/22/1989,185,83,Netherlands,Valencia CF,83,20000000,39000,GK
200949,Lucas Moura,Lucas Rodrigues M. Silva,26,8/13/1992,174,70,Brazil,Tottenham Hotspur,83,31000000,130000,SUB
204970,F. Thauvin,Florian Thauvin,26,1/26/1993,179,70,France,Olympique de Marseille,83,30500000,60000,RW
205498,Jorginho,Luiz Frello Filho Jorge,27,12/20/1991,180,67,Italy,Chelsea,83,29000000,140000,CDM
1179,G. Buffon,Gianluigi Buffon,41,1/28/1978,192,92,Italy,Juventus,83,2600000,58000,SUB
5479,Casillas,Iker Casillas Fernández,38,5/20/1981,185,84,Spain,FC Porto,83,2600000,11000,RES
104389,R. Jarstein,Rune  Almenning Jarstein,34,9/29/1984,190,86,Norway,Hertha BSC,83,11500000,33000,GK
139720,V. Kompany,Vincent Kompany,33,4/10/1986,190,85,Belgium,RSC Anderlecht,83,12000000,31000,LCB
157481,Raúl Albiol,Raúl Albiol Tortajada,33,9/4/1985,190,82,Spain,Villarreal CF,83,12000000,45000,RCB
159261,F. Quagliarella,Fabio Quagliarella,36,1/31/1983,180,79,Italy,Sampdoria,83,9500000,46000,ST
163587,K. Schmeichel,Kasper Schmeichel,32,11/5/1986,189,89,Denmark,Leicester City,83,15500000,82000,GK
167397,Falcao,Radamel Falcao García Zárate,33,2/10/1986,177,72,Colombia,AS Monaco,83,16500000,64000,LS
168609,Miranda,João Miranda de Souza Filho,34,9/7/1984,186,78,Brazil,Jiangsu Suning FC,83,9500000,32000,RCB
169416,C. Vela,Carlos Alberto Vela Garrido,30,3/1/1989,177,77,Mexico,Los Angeles FC,83,24500000,17000,RW
170481,E. Garay,Ezequiel Marcelo Garay,32,10/10/1986,189,90,Argentina,Valencia CF,83,16500000,48000,RCB
178005,Rui Patrício,Rui Pedro dos Santos Patrício,31,2/15/1988,190,84,Portugal,Wolverhampton Wanderers,83,16500000,82000,GK
178518,R. Nainggolan,Radja Nainggolan,31,5/4/1988,176,77,Belgium,Cagliari,83,22500000,51000,CAM
178562,E. Banega,Éver Maximiliano David Banega,31,6/29/1988,174,71,Argentina,Sevilla FC,83,19500000,26000,RCM
179844,Diego Costa,Diego da Silva Costa,30,10/7/1988,188,86,Spain,Atlético Madrid,83,25000000,80000,SUB
179846,S. Khedira,Sami Khedira,32,4/4/1987,189,90,Germany,Juventus,83,19500000,135000,RES
179944,David Luiz,David Luiz Moreira Marinho,32,4/22/1987,189,86,Brazil,Arsenal,83,16500000,105000,LCB
183574,M. Kruse,Max Kruse,31,3/19/1988,180,76,Germany,Fenerbahçe SK,83,23500000,105000,CAM
183711,J. Henderson,Jordan Brian Henderson,29,6/17/1990,182,80,England,Liverpool,83,22000000,115000,RCM
184484,G. Sigurðsson,Gylfi Þór Sigurðsson,29,9/8/1989,186,77,Iceland,Everton,83,25500000,120000,CAM
186561,A. Ramsey,Aaron Ramsey,28,12/26/1990,183,76,Wales,Juventus,83,25500000,140000,SUB
190584,Illarramendi,Asier Illarramendi Andonegi,29,3/8/1990,179,75,Spain,Real Sociedad,83,22000000,42000,RCM
190815,D. Blind,Daley Blind,29,3/9/1990,180,72,Netherlands,Ajax,83,22000000,31000,LDM
190941,L. Hrádecký,Lukáš Hrádecký,29,11/24/1989,192,85,Finland,Bayer 04 Leverkusen,83,18500000,67000,GK
192366,N. Otamendi,Nicolás Hernán Otamendi,31,2/12/1988,183,81,Argentina,Manchester City,83,19000000,145000,SUB
193082,J. Cuadrado,Juan Cuadrado,31,5/26/1988,179,72,Colombia,Juventus,83,22500000,135000,SUB
193474,I. Gueye,Idrissa Gana Gueye,29,9/26/1989,174,66,Senegal,Paris Saint-Germain,83,22000000,100000,SUB
195365,K. Kampl,Kevin Kampl,28,10/9/1990,178,67,Slovenia,RB Leipzig,83,25500000,77000,CM
198329,Rodrigo,Rodrigo Moreno Machado,28,3/6/1991,182,77,Spain,Valencia CF,83,27000000,60000,LS
199042,C. Aránguiz,Charles Mariano Aránguiz Sandoval,30,4/17/1989,171,70,Chile,Bayer 04 Leverkusen,83,24000000,86000,LCM
199451,W. Ben Yedder,Wissam Ben Yedder,28,8/12/1990,170,68,France,AS Monaco,83,27000000,67000,RS
199845,F. Acerbi,Francesco Acerbi,31,2/10/1988,192,88,Italy,Lazio,83,19000000,64000,CB
200888,Danilo Pereira,Danilo Luís Hélio Pereira,27,9/9/1991,188,83,Portugal,FC Porto,83,24000000,21000,LCM
